,Unnamed: 0,name,container,cas,mw,solute_smiles,solvent_smiles,dm300,dm300_error,full_smiles
28,28,(R)-(_)-1-Indanol,CA170,697-64-3,134.0,C1CC2=CC=CC=C2C1O,CO,0.579,0.0104,C1CC2=CC=CC=C2C1O.CO
29,29,,Z29,91-76-9,187.0,NC1=NC(N)=NC(C2=CC=CC=C2)=N1,CO,0.6407,0.0912,NC1=NC(N)=NC(C2=CC=CC=C2)=N1.CO
30,30,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CO,0.4509,0.0949,Cc1ccc(I)cc1.CO
31,31,ANETHOL,Z156,4180-23-8,148.0,CC=CC1=CC=C(C=C1)OC,CO,0.4731,0.0259,CC=CC1=CC=C(C=C1)OC.CO
32,32,"4-amino-3,5-xylenol",CO1,3096-70-6,137.084064,CC1=CC(O)=CC(C)=C1N,CO,0.6344,0.1194,CC1=CC(O)=CC(C)=C1N.CO
33,33,2-amino-3-nitrophenol,Z112,603-85-0,154.0,C1=CC(=C(C(=C1)O)N)[N+](=O)[O-],CO,0.9415,0.0067,C1=CC(=C(C(=C1)O)N)[N+](=O)[O-].CO
34,34,,Z160,5111-65-9,237.0,COC1=CC2=C(C=C1)C=C(C=C2)Br,CO,0.5255,0.0089,COC1=CC2=C(C=C1)C=C(C=C2)Br.CO
35,35,,Z170,95-63-6,120.0,CC1=CC(=C(C=C1)C)C,CO,0.5659,0.0412,CC1=CC(=C(C=C1)C)C.CO
36,36,2-Bromoacetophenone,CJ57,2142-69-0,197.9680269,O=C(C1=CC=CC=C1)CBr,CO,0.4722,0.0131,O=C(C1=CC=CC=C1)CBr.CO
37,37,"3,5-Diaminobenzoic Acid",Z1,535-87-5,152.15,O=C(O)C1=CC(N)=CC(N)=C1,CO,0.6452,0.0316,O=C(O)C1=CC(N)=CC(N)=C1.CO
38,38,Phthalimide,D34,85-41-6,147.0,O=C(N1)C2=CC=CC=C2C1=O,CO,0.6412,0.0312,O=C(N1)C2=CC=CC=C2C1=O.CO
39,39,Histamine,CB45,51-45-6,111.0,C1=C(NC=N1)CCN,CO,0.5592,0.0322,C1=C(NC=N1)CCN.CO
40,40,4-hydroxybenzaldehyde,CK34,123-08-0,122.0367794,O=CC1=CC=C(O)C=C1,CO,0.4733,0.0667,O=CC1=CC=C(O)C=C1.CO
41,41,"1,3,5-Trimethoxybenzene",CK30,621-23-8,168.0786442,COC1=CC(OC)=CC(OC)=C1,CO,1.0,0.0,COC1=CC(OC)=CC(OC)=C1.CO
42,42,4-NITROBENZOIC ACID,CD2,62-23-7,167.0,OC(=O)c1ccc(cc1)[N+]([O-])=O,CO,0.959,0.0032,OC(=O)c1ccc(cc1)[N+]([O-])=O.CO
43,43,2-Aminobenzylamine,D40,4403-69-4,122.0,NCC1=CC=CC=C1N,CO,0.9551,0.0022,NCC1=CC=CC=C1N.CO
44,44,4-HYDROXYFLUORENE,Z149,1689-64-1,182.0,C1=CC=C2C(=C1)C(C3=CC=CC=C32)O,CO,0.6527,0.0161,C1=CC=C2C(=C1)C(C3=CC=CC=C32)O.CO
45,45,"1-NITRONAPHTHALENE, 99%",Z132,86-57-7,173.0,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-],CO,0.546,0.0296,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-].CO
46,46,"1-CHLORO-2-NITROBENZENE, 99%",D17,88-73-3,157.0,[O-][N+](=O)c1ccccc1Cl,CO,0.4511,0.0813,[O-][N+](=O)c1ccccc1Cl.CO
47,47,2-amino-4-methyl-benzonitrile,Z96,26830-96-6,132.0,CC1=CC(=C(C=C1)C#N)N,CO,0.573,0.0619,CC1=CC(=C(C=C1)C#N)N.CO
48,48,"2,5-Diaminopyridine","CC78, S85",4318-76-7,109.0639972,NC1=CN=C(N)C=C1,CO,0.8066,0.0344,NC1=CN=C(N)C=C1.CO
49,49,"1,5-Diaminonaphthalene",CK5,771-97-1,158.0843983,NC1=CC=CC2=C(N)C=CC=C12,CO,0.6239,0.0599,NC1=CC=CC2=C(N)C=CC=C12.CO
50,50,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CO,0.4731,0.0136,N#CC1=CC(F)=CC(F)=C1.CO
51,51,"2,5-Dimethyl-1,4-phenylenediamine",CA122,07/01/6393,136.1000484,NC1=CC(C)=C(N)C=C1C,CO,1.0,0.0,NC1=CC(C)=C(N)C=C1C.CO
52,52,5-Bromo-1-methyl-1H-indole,RSY40,10075-52-2,210.07,CN1C=CC2=C1C=CC(=C2)Br,CO,0.444,0.0477,CN1C=CC2=C1C=CC(=C2)Br.CO
53,53,"1,2-Dimethoxybenzene",Z18,91-16-7,138.0,COC1=CC=CC=C1OC,CO,0.5454,0.0534,COC1=CC=CC=C1OC.CO
54,54,,Z24,14753-51-6,268.0,OC1=CC(Br)=C(O)C=C1Br,CO,0.7556,0.0382,OC1=CC(Br)=C(O)C=C1Br.CO
55,55,"2,3-Diaminonaphthalene",CC2,771-97-1,158.0,NC1=CC=CC2=C(N)C=CC=C12,CO,0.963,0.0014,NC1=CC=CC2=C(N)C=CC=C12.CO
56,56,2-AMINOBENZAMIDE,S168,88-68-6,136.15,NC(=O)c1ccccc1N,CO,0.6149,0.0219,NC(=O)c1ccccc1N.CO
57,57,,Z15,623-26-7,256.0,N#CC1=CC=C(C#N)C=C1,CO,0.4892,0.0786,N#CC1=CC=C(C#N)C=C1.CO
58,58,,Z62,6161-50-8,214.0,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1,CO,0.6668,0.1051,COC1=CC(C2=CC=CC(OC)=C2)=CC=C1.CO
59,59,7-Fluoroisatin,CB139,317-20-4,165.0226066,O=C1NC2=C(C=CC=C2F)C1=O,CO,0.6915,0.0901,O=C1NC2=C(C=CC=C2F)C1=O.CO
60,60,2-Phenylimidazole,CQ11,670-96-2,144.0687483,C1(C2=CC=CC=C2)=NC=CN1,CO,0.9098,0.0034,C1(C2=CC=CC=C2)=NC=CN1.CO
61,61,a-Methylbenzylamine,CA77,618-36-0,121.0891494,NC(C)C1=CC=CC=C1,CO,0.6138,0.0384,NC(C)C1=CC=CC=C1.CO
62,62,BIOTIN,CD1,58-85-5,244.0,OC(=O)CCCCC1SCC2NC(=O)NC12,CO,0.9163,0.0357,OC(=O)CCCCC1SCC2NC(=O)NC12.CO
63,63,,Z49,14348-75-5,336.0,O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2,CO,0.8055,0.0242,O=C1C2=C(C3=C1C=C(Br)C=C3)C=CC(Br)=C2.CO
64,64,3-Bromo-9H-carbazole,RSY15,1592-95-6,246.1,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32,CO,0.6997,0.0271,C1=CC=C(C=C1)NC2=CC=CC3=CC=CC=C32.CO
65,65,"1,8-DICHLOROANTHRAQUINONE, 97%",CE6,82-43-9,276.0,Clc1cccc2C(=O)c3cccc(Cl)c3C(=O)c12,CO,0.9373,0.0011,Clc1cccc2C(=O)c3cccc(Cl)c3C(=O)c12.CO
66,66,N-Phenylmaleimide,D41,941-69-5,173.0,O=C(N1C2=CC=CC=C2)C=CC1=O,CO,0.5874,0.0526,O=C(N1C2=CC=CC=C2)C=CC1=O.CO
67,67,Tetracycline hydrochloride,AP7,64-75-5,480.1299434,OC1=CC=CC2=C1C(C3=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]4N(C)C)=O)(O)[C@@]4([H])C[C@]3([H])[C@@]2(O)C)=O,CO,0.836,0.0777,OC1=CC=CC2=C1C(C3=C(O)[C@@](C(C(C(N)=O)=C(O)[C@H]4N(C)C)=O)(O)[C@@]4([H])C[C@]3([H])[C@@]2(O)C)=O.CO
68,68,2-Amino-5-bromobenzoic acid,RB54,5794-88-7,216.03,C1=CC(=C(C=C1Br)C(=O)O)N,CO,0.9018,0.0313,C1=CC(=C(C=C1Br)C(=O)O)N.CO
69,69,4-Hydroxy-3-methoxybenzyl alcohol,CO31,498-00-0,154.0629942,COC1=CC(CO)=CC=C1O,CO,0.9663,0.005,COC1=CC(CO)=CC=C1O.CO
70,70,Sesamol,CJ74,533-31-3,138.12,C1OC2=C(O1)C=C(C=C2)O,CO,0.8824,0.0204,C1OC2=C(O1)C=C(C=C2)O.CO
71,71,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CO,0.7756,0.0309,COC1=CC(OC)=CC(Br)=C1.CO
72,72,"3,5-Dimethoxyaniline",Z3,10272-07-8,153.0,NC1=CC(OC)=CC(OC)=C1,CO,0.632,0.0586,NC1=CC(OC)=CC(OC)=C1.CO
73,73,1-Methylnaphthalene,CC25,90-12-0,142.0,CC1=CC=CC2=CC=CC=C12,CO,0.6144,0.0073,CC1=CC=CC2=CC=CC=C12.CO
74,74,"2,3,5,6-Tetrafluoro-1,4-benzenedimethanol",Z85,92339-07-6,210.0,C(C1=C(C(=C(C(=C1F)F)CO)F)F)O,CO,0.8138,0.0392,C(C1=C(C(=C(C(=C1F)F)CO)F)F)O.CO
75,75,"1-Bromo-3,5-dimethoxybenzene",Z55,20469-65-2,217.0,COC1=CC(OC)=CC(Br)=C1,CO,0.7704,0.0056,COC1=CC(OC)=CC(Br)=C1.CO
76,76,,Z72,624-38-4,329.0,IC1=CC=C(I)C=C1,CO,0.6,0.0198,IC1=CC=C(I)C=C1.CO
77,77,"2-BROMO-N,N-DIMETHYLANILINE",D38,698-00-0,200.0,CN(C)C1=CC=CC=C1Br,CO,0.8211,0.0425,CN(C)C1=CC=CC=C1Br.CO
78,78,m-Cresol GPR RECTAPUR�,"CM23, Y1, Y10",108-39-4,108.0575149,CC1=CC(O)=CC=C1,CO,0.7515,0.0726,CC1=CC(O)=CC=C1.CO
79,79,2-Acetonaphthone,CL12,93-08-3,170.0731649,CC(C1=CC=C2C=CC=CC2=C1)=O,CO,0.657,0.0837,CC(C1=CC=C2C=CC=CC2=C1)=O.CO
80,80,"4,4'-Diaminobenzophenone",Z67,611-98-3,212.0,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N,CO,0.9515,0.0071,C1=CC(=CC=C1C(=O)C2=CC=C(C=C2)N)N.CO
81,81,6-BROMOOXINDOLE,CA121,99365-40-9,210.9632759,O=C1NC2=C(C=CC(Br)=C2)C1,CO,0.8492,0.0181,O=C1NC2=C(C=CC(Br)=C2)C1.CO
82,82,,Z8,5779-95-3,134.0,O=CC1=CC(C)=CC(C)=C1,CO,0.7832,0.0388,O=CC1=CC(C)=CC(C)=C1.CO
83,83,4-Fluorobenzoic acid,CC4,456-22-4,140.0,O=C(O)C1=CC=C(F)C=C1,CO,0.8535,0.0269,O=C(O)C1=CC=C(F)C=C1.CO
84,84,5-Bromoisatin,RSY5,87-48-9,224.9425405,O=C1NC2=C(C=C(Br)C=C2)C1=O,CO,0.9111,0.0017,O=C1NC2=C(C=C(Br)C=C2)C1=O.CO
85,85,,Z30,626-00-6,330.0,IC1=CC(I)=CC=C1,CO,0.5589,0.0784,IC1=CC(I)=CC=C1.CO
86,86,,Z30,626-00-6,330.0,IC1=CC(I)=CC=C1,CO,0.4111,0.0118,IC1=CC(I)=CC=C1.CO
87,87,"1,2-Dimethoxybenzene",Z18,91-16-7,138.0,COC1=CC=CC=C1OC,CO,0.5779,0.0193,COC1=CC=CC=C1OC.CO
88,88,"2,2,2-Trimethylpropionanilide",D36,61495-04-3,191.0,O=C(NC1=C(C)C=CC=C1)C(C)(C)C,CO,0.9939,0.0011,O=C(NC1=C(C)C=CC=C1)C(C)(C)C.CO
89,89,"2,6-Lutidine",CC50,108-48-5,107.0,CC1=NC(C)=CC=C1,CO,0.6969,0.0174,CC1=NC(C)=CC=C1.CO
90,90,TARTRAZINE,"fridge top, large acros bottle",1934-21-0,534.36,O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3,CO,1.0,0.0,O=C1N(C2=CC=C(S(=O)(O)=O)C=C2)N=C(C(O)=O)C1N=NC3=CC=C(S(=O)(O)=O)C=C3.CO
91,91,"3,4-Dichloroaniline",CB90,95-76-1,160.98,NC1=CC=C(Cl)C(Cl)=C1,CO,0.5644,0.0311,NC1=CC=C(Cl)C(Cl)=C1.CO
92,92,,Z182,619-44-3,262.0,COC(=O)C1=CC=C(C=C1)I,CO,0.466,0.0198,COC(=O)C1=CC=C(C=C1)I.CO
93,93,"1,4-dibromo-2,5-dimethoxybenzene",CB130,2674-34-2,293.8891037,COC1=C(Br)C=C(OC)C(Br)=C1,CO,0.8963,0.0076,COC1=C(Br)C=C(OC)C(Br)=C1.CO
94,94,"5,5'-Dimethyl-2,2'-bipyridine",Z65,1762-34-1,184.0,CC1=CN=C(C=C1)C2=NC=C(C=C2)C,CO,1.0,0.0,CC1=CN=C(C=C1)C2=NC=C(C=C2)C.CO
95,95,4-Iodoanisole,Z137,696-62-8,234.0,COC1=CC=C(C=C1)I,CO,0.1803,0.0222,COC1=CC=C(C=C1)I.CO
96,96,"1,3-Dibenzoylbenzene",D29,3770-82-9,286.0,O=C(C1=CC(C(C2=CC=CC=C2)=O)=CC=C1)C3=CC=CC=C3,CO,0.969,0.0044,O=C(C1=CC(C(C2=CC=CC=C2)=O)=CC=C1)C3=CC=CC=C3.CO
97,97,Tenoxicam,RB34,59804-37-4,337.0190978,CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O,CO,0.9985,0.0006,CN1C(C(NC2=CC=CC=N2)=O)=C(C3=C(S1(=O)=O)C=CS3)O.CO
98,98,Mandelic acid,CR18,90-64-2,152.0,OC(C(O)=O)C1=CC=CC=C1,CO,0.9999,0.0,OC(C(O)=O)C1=CC=CC=C1.CO
99,99,4-AMINO-3-NITROBENZOIC ACID,Z148,1588-83-6,182.0,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])N,CO,0.7007,0.0302,C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])N.CO
100,100,"3,5-Difluorobenzonitrile",CA78,64248-63-1,139.0233555,N#CC1=CC(F)=CC(F)=C1,CO,0.6629,0.0185,N#CC1=CC(F)=CC(F)=C1.CO
101,101,p-Anisidine,CQ24,104-94-9,123.0684139,NC1=CC=C(OC)C=C1,CO,0.5134,0.0404,NC1=CC=C(OC)C=C1.CO
102,102,N-(1-naphthyl)ethylenediamine,Q8,551-09-7,184.1000484,C=C(N)NC1=C2C=CC=CC2=CC=C1,CO,1.0,0.0,C=C(N)NC1=C2C=CC=CC2=CC=C1.CO
103,103,6-Amino-3-bromo-2-methylpyridine,CB144,42753-71-9,185.9792603,CC1=NC(N)=CC=C1Br,CO,0.6441,0.0209,CC1=NC(N)=CC=C1Br.CO
104,104,4-Aminobenzoic acid,D2,150-13-0,137.0,Nc1ccc(cc1)C(O)=O,CO,0.8522,0.0125,Nc1ccc(cc1)C(O)=O.CO
105,105,Mandelic acid,CR18,90-64-2,152.0,OC(C(O)=O)C1=CC=CC=C1,CO,0.9874,0.0011,OC(C(O)=O)C1=CC=CC=C1.CO
106,106,Benzimidazole,CC12,51-17-2,118.0530982,C12=CC=CC=C1NC=N2,CO,0.7281,0.021,C12=CC=CC=C1NC=N2.CO
107,107,(R)-(?)-2-Phenylbutyric acid,CA154,938-79-4,164.2,CC[C@@H](C(=O)O)c1ccccc1,CO,0.9782,0.0004,CC[C@@H](C(=O)O)c1ccccc1.CO
108,108,Losartan potassium salt,AP53,124750-99-8,460.1180687,OCC1=C(Cl)N=C(CCCC)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4,CO,0.9542,0.0012,OCC1=C(Cl)N=C(CCCC)N1CC2=CC=C(C=C2)C3=C(C=CC=C3)C4=NN=NN4.CO
109,109,Dimethyl 5-hydroxyisophthalate,Z44,13036-02-7,210.0,O=C(OC)C1=CC(O)=CC(C(OC)=O)=C1,CO,0.9511,0.0106,O=C(OC)C1=CC(O)=CC(C(OC)=O)=C1.CO
110,110,2-Methylanisole,CJ7,578-58-5,122.0,COC1=CC=CC=C1C,CO,0.6572,0.0103,COC1=CC=CC=C1C.CO
111,111,(R)-(+)-1-(4-Methoxyphenyl)ethylamine 5G,CA162,22038-86-4,151.0,N[C@@H](C1=CC=C(OC)C=C1)C,CO,0.6886,0.0234,N[C@@H](C1=CC=C(OC)C=C1)C.CO
112,112,Propiophenone,D37,93-55-0,135.0,CCC(C1=CC=CC=C1)=O,CO,0.5789,0.0191,CCC(C1=CC=CC=C1)=O.CO
113,113,"4,4'-Difluorobenzophenone",CO28,345-92-6,218.0,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2,CO,0.7347,0.018,O=C(C1=CC=C(F)C=C1)C2=CC=C(F)C=C2.CO
114,114,4-Iodotoluene,CB87,624-31-7,218.03,Cc1ccc(I)cc1,CO,0.2957,0.0163,Cc1ccc(I)cc1.CO
115,115,5-aminoquinoline,CB77,611-34-7,144.17,Nc1cccc2ncccc12,CO,0.8088,0.0087,Nc1cccc2ncccc12.CO
116,116,"1,4-Dibromo-2,5-difluorobenzene",Z74,327-51-5,272.0,FC1=C(Br)C=C(F)C(Br)=C1,CO,0.9464,0.0138,FC1=C(Br)C=C(F)C(Br)=C1.CO
117,117,"1,2,3,4-Tetrahydro-1-naphthol",CB115,529-33-9,148.088815,OC1CCCC2=C1C=CC=C2,CO,0.8781,0.0036,OC1CCCC2=C1C=CC=C2.CO
118,118,trans-4-Cyclohexyl-L-proline hydrochloride,D44,90657-55-9,233.0,O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1,CO,0.9415,0.0947,O=C(O)[C@H]1NC[C@H](C2CCCCC2)C1.CO
119,119,N-Phenylmaleimide,D41,941-69-5,173.0,O=C(N1C2=CC=CC=C2)C=CC1=O,CO,0.6238,0.0069,O=C(N1C2=CC=CC=C2)C=CC1=O.CO
120,120,,Z168,445-29-4,140.0,C1=CC=C(C(=C1)C(=O)O)F,CO,0.6525,0.1069,C1=CC=C(C(=C1)C(=O)O)F.CO
121,121,"2,5- Difluoronitrobenzene",CB125,364-74-9,159.0131848,FC1=CC=C(F)C([N+]([O-])=O)=C1,CO,0.5029,0.0231,FC1=CC=C(F)C([N+]([O-])=O)=C1.CO
122,122,Phloroglucinol,I4,108-73-6,126.11,Oc1cc(O)cc(O)c1,CO,0.8893,0.0075,Oc1cc(O)cc(O)c1.CO
123,123,6-aminonaphthalene-2-carboxylic acid,Z89,116668-47-4,187.0,C1=CC2=C(C=CC(=C2)N)C=C1C(=O)O,CO,0.9697,0.0019,C1=CC2=C(C=CC(=C2)N)C=C1C(=O)O.CO
124,124,Acetaminophen,D31,103-84-4,151.0,O=C(C)NC1=CC=C(O)C=C1,CO,0.6925,0.0418,O=C(C)NC1=CC=C(O)C=C1.CO
125,125,"1,3,5-tri(propan-2-yl)benzene",Z81,717-74-8,204.0,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C,CO,0.9495,0.0242,CC(C)C1=CC(=CC(=C1)C(C)C)C(C)C.CO
126,126,,Z174,327-92-4,204.0,C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-],CO,0.5337,0.0157,C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-].CO
127,127,"4-PYRROLIDINOPYRIDINE, 98%",D10,2456-81-7,149.0,C1CCN(C1)c2cc[nH+]cc2,CO,0.9383,0.0049,C1CCN(C1)c2cc[nH+]cc2.CO
128,128,Methyl 4-bromobenzoate,CJ70,619-42-1,215.05,BrC1=CC=C(C(OC)=O)C=C1,CO,0.5307,0.0146,BrC1=CC=C(C(OC)=O)C=C1.CO
129,129,Nicotine ,CB94,54-11-5,162.1156984,CN1C(CCC1)C2=CN=CC=C2,CO,0.9802,0.0021,CN1C(CCC1)C2=CN=CC=C2.CO
130,130,"1,3,5-Tris(4-aminophenyl)benzene",CA144,118727-34-7,351.44,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1,CO,0.9998,0.0001,Nc1ccc(-c2cc(-c3ccc(N)cc3)cc(-c3ccc(N)cc3)c2)cc1.CO
131,131,(R)-(?)-1-Indanol,CA170,697-64-3,134.0731649,O[C@@H]1CCC2=C1C=CC=C2,CO,0.8182,0.0254,O[C@@H]1CCC2=C1C=CC=C2.CO
132,132,bis(4-hydroxyphenyl)methanone,Z46,611-99-4,214.0,O=C(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2,CO,0.955,0.0064,O=C(C1=CC=C(O)C=C1)C2=CC=C(O)C=C2.CO
133,133,,Z36,7226-23-5,128.0,O=C1N(C)CCCN1C,CO,0.6442,0.0865,O=C1N(C)CCCN1C.CO
134,134,Menadione,AP28,58-27-5,172.0,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O,CO,0.6691,0.0107,O=C(C(C)=C1)C(C=CC=C2)=C2C1=O.CO
135,135,,Z74,327-51-5,271.0,FC1=C(Br)C=C(F)C(Br)=C1,CO,0.9292,0.0066,FC1=C(Br)C=C(F)C(Br)=C1.CO
136,136,(R)-(_)-2-Phenylglycinol,D39,56613-80-0,137.0,N[C@H](C1=CC=CC=C1)CO,CO,0.8851,0.0166,N[C@H](C1=CC=CC=C1)CO.CO
137,137,Oleylamine,Z164,112-90-3,267.0,CCCCCCCCC=CCCCCCCCCN,CO,0.9325,0.0041,CCCCCCCCC=CCCCCCCCCN.CO
138,138,"4'-BROMOACETOPHENONE, 98%",D19,99-90-1,198.0,CC(=O)c1ccc(Br)cc1,CO,0.596,0.03,CC(=O)c1ccc(Br)cc1.CO
139,139,,Z71,583-53-9,236.0,BrC1=CC=CC=C1Br,CO,0.8547,0.0349,BrC1=CC=CC=C1Br.CO
140,140,"2,5-Di-tert-butylhydroquinone",CB114,88-58-4,222.33,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O,CO,0.9966,0.0006,CC(C)(C)c1cc(O)c(C(C)(C)C)cc1O.CO
141,141,"2,6-Diacetylpyridine",Z31,1129-30-2,163.0,CC(=O)C1=NC(=CC=C1)C(=O)C,CO,0.9012,0.0234,CC(=O)C1=NC(=CC=C1)C(=O)C.CO
142,142,Enoxacin,AP51,74011-58-8,320.1284686,CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O,CO,1.0,0.0,CCN1C=C(C(C2=CC(F)=C(N3CCNCC3)N=C12)=O)C(O)=O.CO
